siteId,chargerId,connectorId,energy_kWh,sessionDurationMin,tariffINR,revenueINR,startTime,stopTime
Mumbai-Central,CHG-001,Conn-1,25.5,45,12,306,2025-12-01 08:15:00,2025-12-01 09:00:00
Mumbai-Central,CHG-001,Conn-2,18.2,35,12,218,2025-12-01 09:30:00,2025-12-01 10:05:00
Mumbai-Central,CHG-002,Conn-1,32.8,55,12,394,2025-12-01 10:15:00,2025-12-01 11:10:00
Mumbai-Central,CHG-002,Conn-2,22.4,40,12,269,2025-12-01 11:30:00,2025-12-01 12:10:00
Mumbai-Central,CHG-003,Conn-1,0.5,5,12,6,2025-12-01 14:00:00,2025-12-01 14:05:00
Delhi-South,CHG-004,Conn-1,28.6,50,14,400,2025-12-01 07:45:00,2025-12-01 08:35:00
Delhi-South,CHG-004,Conn-2,35.2,60,14,493,2025-12-01 09:00:00,2025-12-01 10:00:00
Delhi-South,CHG-005,Conn-1,20.1,38,14,281,2025-12-01 10:30:00,2025-12-01 11:08:00
Delhi-South,CHG-005,Conn-2,26.8,48,14,375,2025-12-01 12:00:00,2025-12-01 12:48:00
Bangalore-Tech,CHG-006,Conn-1,30.5,52,13,397,2025-12-01 08:00:00,2025-12-01 08:52:00
Bangalore-Tech,CHG-006,Conn-2,24.3,42,13,316,2025-12-01 09:30:00,2025-12-01 10:12:00
Bangalore-Tech,CHG-007,Conn-1,33.7,58,13,438,2025-12-01 11:00:00,2025-12-01 11:58:00
Bangalore-Tech,CHG-007,Conn-2,19.8,36,13,257,2025-12-01 13:00:00,2025-12-01 13:36:00
Pune-Highway,CHG-008,Conn-1,42.5,70,15,638,2025-12-01 06:30:00,2025-12-01 07:40:00
Pune-Highway,CHG-008,Conn-2,38.9,65,15,584,2025-12-01 08:15:00,2025-12-01 09:20:00
Pune-Highway,CHG-009,Conn-1,45.2,75,15,678,2025-12-01 10:00:00,2025-12-01 11:15:00
Pune-Highway,CHG-009,Conn-2,40.1,68,15,602,2025-12-01 12:30:00,2025-12-01 13:38:00
Mumbai-Central,CHG-001,Conn-1,27.3,48,12,328,2025-12-02 08:20:00,2025-12-02 09:08:00
Mumbai-Central,CHG-001,Conn-2,19.5,37,12,234,2025-12-02 09:45:00,2025-12-02 10:22:00
Mumbai-Central,CHG-002,Conn-1,31.2,54,12,374,2025-12-02 10:30:00,2025-12-02 11:24:00
Mumbai-Central,CHG-002,Conn-2,23.8,42,12,286,2025-12-02 11:45:00,2025-12-02 12:27:00
Delhi-South,CHG-004,Conn-1,29.4,51,14,412,2025-12-02 07:50:00,2025-12-02 08:41:00
Delhi-South,CHG-004,Conn-2,34.6,59,14,484,2025-12-02 09:15:00,2025-12-02 10:14:00
Delhi-South,CHG-005,Conn-1,21.3,39,14,298,2025-12-02 10:45:00,2025-12-02 11:24:00
Delhi-South,CHG-005,Conn-2,27.5,49,14,385,2025-12-02 12:15:00,2025-12-02 13:04:00
Bangalore-Tech,CHG-006,Conn-1,31.8,54,13,413,2025-12-02 08:10:00,2025-12-02 09:04:00
Bangalore-Tech,CHG-006,Conn-2,25.1,43,13,326,2025-12-02 09:40:00,2025-12-02 10:23:00
Bangalore-Tech,CHG-007,Conn-1,34.2,59,13,445,2025-12-02 11:10:00,2025-12-02 12:09:00
Bangalore-Tech,CHG-007,Conn-2,20.5,37,13,267,2025-12-02 13:10:00,2025-12-02 13:47:00
Pune-Highway,CHG-008,Conn-1,43.8,72,15,657,2025-12-02 06:40:00,2025-12-02 07:52:00
Pune-Highway,CHG-008,Conn-2,39.6,66,15,594,2025-12-02 08:25:00,2025-12-02 09:31:00
Pune-Highway,CHG-009,Conn-1,46.1,76,15,692,2025-12-02 10:10:00,2025-12-02 11:26:00
Pune-Highway,CHG-009,Conn-2,41.3,69,15,620,2025-12-02 12:40:00,2025-12-02 13:49:00
Mumbai-Central,CHG-001,Conn-1,26.8,47,12,322,2025-12-03 08:25:00,2025-12-03 09:12:00
Mumbai-Central,CHG-001,Conn-2,18.9,36,12,227,2025-12-03 09:50:00,2025-12-03 10:26:00
Mumbai-Central,CHG-002,Conn-1,32.5,56,12,390,2025-12-03 10:35:00,2025-12-03 11:31:00
Mumbai-Central,CHG-002,Conn-2,22.7,41,12,272,2025-12-03 11:50:00,2025-12-03 12:31:00
Delhi-South,CHG-004,Conn-1,28.9,50,14,405,2025-12-03 07:55:00,2025-12-03 08:45:00
Delhi-South,CHG-004,Conn-2,35.8,61,14,501,2025-12-03 09:20:00,2025-12-03 10:21:00
Delhi-South,CHG-005,Conn-1,20.6,38,14,288,2025-12-03 10:50:00,2025-12-03 11:28:00
Delhi-South,CHG-005,Conn-2,27.1,48,14,379,2025-12-03 12:20:00,2025-12-03 13:08:00
Bangalore-Tech,CHG-006,Conn-1,30.9,53,13,402,2025-12-03 08:15:00,2025-12-03 09:08:00
Bangalore-Tech,CHG-006,Conn-2,24.7,42,13,321,2025-12-03 09:45:00,2025-12-03 10:27:00
Bangalore-Tech,CHG-007,Conn-1,33.9,58,13,441,2025-12-03 11:15:00,2025-12-03 12:13:00
Bangalore-Tech,CHG-007,Conn-2,20.1,36,13,261,2025-12-03 13:15:00,2025-12-03 13:51:00
Pune-Highway,CHG-008,Conn-1,42.9,71,15,644,2025-12-03 06:45:00,2025-12-03 07:56:00
Pune-Highway,CHG-008,Conn-2,39.2,65,15,588,2025-12-03 08:30:00,2025-12-03 09:35:00
Pune-Highway,CHG-009,Conn-1,45.6,75,15,684,2025-12-03 10:15:00,2025-12-03 11:30:00
Pune-Highway,CHG-009,Conn-2,40.7,68,15,611,2025-12-03 12:45:00,2025-12-03 13:53:00
Chennai-Port,CHG-010,Conn-1,2.1,8,11,23,2025-12-01 09:00:00,2025-12-01 09:08:00
Chennai-Port,CHG-010,Conn-2,1.8,7,11,20,2025-12-02 10:00:00,2025-12-02 10:07:00
Chennai-Port,CHG-011,Conn-1,15.5,30,11,171,2025-12-01 11:00:00,2025-12-01 11:30:00
Chennai-Port,CHG-011,Conn-2,18.2,35,11,200,2025-12-01 14:00:00,2025-12-01 14:35:00
Chennai-Port,CHG-011,Conn-1,16.8,32,11,185,2025-12-02 11:15:00,2025-12-02 11:47:00
Chennai-Port,CHG-011,Conn-2,17.5,34,11,193,2025-12-02 14:15:00,2025-12-02 14:49:00
